Order_ID,Order_Channel,Order_Date,Pizza_Size,Pizza_Type,Side_Order,Order_Amount,Tip,Payment_Method
1092,Website,1/12/2020,Large,veggie_veg,"Wings , Drink",22.01,5,Card
1093,Website,1/12/2020,Large,four_cheese,Wings,18.7,1.3,Cash
1094,Website,1/12/2020,XXL,ital_supr,"Wings,Drink, Pasta",35.2,5,Card
1095,Website,1/12/2020,XXL,bbq_ckn,"Wings,Drink, Pasta",37.52,5,Card
1096,Website,1/12/2020,Medium,classic_dlx,Drink,13.6,3,Card
1097,Website,1/12/2020,Large,prsc_argla,Wings,19.16,0.84,Cash
1098,Call Center,1/14/2020,XLarge,ckn_alfredo,"Wings , Drink",30.92,9.18,Cash
1099,Call Center,1/14/2020,XLarge,sicilian,"Wings , Drink",27.35,17.65,Cash
1100,Website,1/14/2020,Medium,ckn_pesto,No Side,8.83,1.17,Cash
1101,Website,1/14/2020,Large,classic_dlx,"Wings , Drink",20.97,4.03,Card
1102,Website,1/14/2020,XXL,ital_supr,"Wings,Drink, Pasta",42.45,0,Cash
1103,Call Center,1/14/2020,XXL,cali_ckn,"Wings,Drink, Pasta",39.03,3.97,Cash
1104,Website,1/15/2020,Large,classic_dlx,Wings,17.83,3,Card
1105,Website,1/15/2020,XXL,pepperoni,"Wings,Drink, Pasta",36.61,6,Card
1106,Website,1/15/2020,Large,brie_carre,Wings,18.9,2.5,Card
1107,Website,1/15/2020,Large,peppr_salami,"Wings , Drink",24.72,5,Card
1108,Website,1/15/2020,Large,pepperoni,Wings,15.44,4.56,Cash
1109,Website,1/15/2020,XLarge,big_meat,"Wings , Drink",25.23,3,Card
1110,Website,1/15/2020,Large,mediterraneo,Wings,19.54,4,Card
1111,Website,1/15/2020,XLarge,the_greek,"Wings , Drink",32.67,2.33,Cash
1112,Website,1/15/2020,Medium,ital_supr,Drink,14.65,2,Card
1113,Website,1/16/2020,Large,southw_ckn,"Wings , Drink",23.14,1.86,Cash
1114,Website,1/16/2020,Large,brie_carre,Wings,18.9,6.1,Cash
1115,Website,1/16/2020,Medium,spin_pestoach_supr,Drink,13.95,0,Cash
1116,Website,1/16/2020,XXL,the_greek,"Wings,Drink, Pasta",35.56,4.44,Cash
1117,Website,1/16/2020,Medium,classic_dlx,Drink,12.62,2,Card
1118,Call Center,1/16/2020,XLarge,five_cheese,"Wings , Drink",31.08,5.92,Cash
1119,Website,1/16/2020,Large,ital_supr,Wings,16.48,3,Card
1120,Website,1/16/2020,Large,cali_ckn,"Wings , Drink",23.13,3,Card
1121,Website,1/16/2020,Large,spin_pestoach_supr,Wings,15.44,3.56,Cash
1122,Website,1/17/2020,XXL,pepperoni,"Wings,Drink, Pasta",36.9,4,Card
1123,Website,1/17/2020,XLarge,ckn_alfredo,"Wings , Drink",31.49,2,Card
1124,Website,1/17/2020,Medium,sicilian,No Side,11.48,1.52,Cash
1125,Website,1/17/2020,Large,bbq_ckn,"Wings , Drink",22.08,1,Card
1126,Website,1/17/2020,Large,hawaiian,Wings,16.6,3.4,Cash
1127,Website,1/17/2020,Medium,ital_supr,Drink,14.65,4,Card
1128,Website,1/17/2020,Large,veggie_veg,Wings,16.48,2,Card
1129,Website,1/17/2020,XXL,five_cheese,"Wings,Drink, Pasta",43.25,8,Card
1130,Website,1/17/2020,XXL Pizza,pep_msh_pep,"Wings, Pasta, Salad",60.6,5,Card
1131,Website,1/17/2020,Large,bbq_ckn,Wings,18.98,2,Card
1132,Website,1/17/2020,Large,calabrese,"Wings , Drink",21.02,2.98,Cash
1133,Website,1/17/2020,Large,ckn_pesto,Wings,15.44,4.56,Card
1134,Website,1/17/2020,Large,four_cheese,Wings,16.78,4,Card
1135,Website,1/18/2020,XLarge,ital_supr,"Wings , Drink",27.35,3,Card
1136,Website,1/18/2020,Medium,spin_pestoach_supr,Drink,14.1,3,Card
1137,Website,1/18/2020,Medium,ital_supr,Drink,14.65,2.35,Cash
1138,Call Center,1/18/2020,Medium,sicilian,No Side,8.83,1.13,Cash
1139,Website,1/18/2020,XLarge,pepperoni,"Wings , Drink",28.44,5,Card
1140,Website,1/18/2020,XLarge,soppressata,"Wings , Drink",26.31,5,Card
1141,Website,1/18/2020,Large,classic_dlx,"Wings , Drink",23.66,4,Card
1142,Website,1/18/2020,XLarge,sicilian,"Wings , Drink",34.14,5.86,Cash
1143,Website,1/18/2020,Large,soppressata,"Wings , Drink",21.98,3.02,Cash
1144,Call Center,1/18/2020,Large,spin_pestoach_supr,Wings,17.3,5,Card
1145,Website,1/18/2020,Large,calabrese,Wings,18.9,3,Card
1146,Website,1/18/2020,Large,ital_supr,Wings,15.27,2,Cash
1147,Website,1/19/2020,XLarge,spicy_ital,"Wings , Drink",33.7,5,Card
1148,Website,1/19/2020,Large,green_garden,Wings,19.64,3.36,Cash
1149,Website,1/19/2020,XLarge,sicilian,"Wings , Drink",31.62,5.32,Cash
1150,Call Center,1/19/2020,Large,big_meat,Wings,18.31,4.69,Card
1151,Website,1/19/2020,Large,ckn_alfredo,Wings,17.46,4.54,Cash
1152,Website,1/19/2020,Large,four_cheese,Wings,17.84,3,Card
1153,Website,1/19/2020,Medium,hawaiian,Drink,14.65,2.35,Card
1154,Call Center,1/19/2020,Large,ital_supr,Wings,18.24,4,Card
1155,Website,1/19/2020,Large,thai_ckn,Wings,18.24,2,Card
1156,Website,1/19/2020,XXL,veggie_veg,"Wings,Drink, Pasta",42.28,5,Card
1157,Website,1/19/2020,Large,spicy_ital,Wings,18.37,5,Card
1158,Website,1/19/2020,Large,napolitana,"Wings , Drink",20.68,5,Card
1159,Call Center,1/19/2020,Large,spicy_ital,"Wings , Drink",24.18,3,Card
1160,Website,1/19/2020,XLarge,veggie_veg,"Wings , Drink",30.54,3,Card
1161,Website,1/19/2020,Large,classic_dlx,Wings,19.74,3,Card
1162,Website,1/19/2020,Large,pep_msh_pep,"Wings , Drink",23.12,3,Card
1163,Website,1/19/2020,XLarge,spin_pestoach_supr,"Wings , Drink",33.03,4,Card
1164,Website,1/20/2020,XLarge,classic_dlx,"Wings , Drink",25.52,4.48,Cash
1165,Website,1/20/2020,Medium,ital_supr,Drink,12.87,3,Card
1166,Call Center,1/20/2020,Medium,pep_msh_pep,Drink,13.39,1,Card
1167,Website,1/20/2020,Large,peppr_salami,Wings,15.18,2,Card
1168,Website,1/20/2020,Large,bbq_ckn,Wings,17.81,5.19,Cash
1169,Website,1/20/2020,XLarge,veggie_veg,"Wings , Drink",29.88,5.12,Card
1170,Website,1/21/2020,Medium,ckn_alfredo,No Side,10.26,2.34,Cash
1171,Website,1/21/2020,Large,pepperoni,Wings,15.27,4.73,Cash
1172,Website,1/21/2020,Large,the_greek,"Wings , Drink",21.81,5,Card
1173,Website,1/21/2020,Medium,calabrese,No Side,10.12,4.88,Cash
1174,Call Center,1/21/2020,Large,ckn_alfredo,Wings,19.3,5.7,Cash
1175,Website,1/21/2020,Large,five_cheese,Wings,19.13,0,Card
1176,Website,1/22/2020,XXL Pizza,four_cheese,"Wings, Pasta, Salad",52.77,2.23,Cash
1177,Website,1/22/2020,Medium,four_cheese,Drink,13.06,3.94,Cash
1178,Website,1/22/2020,Medium,green_garden,Drink,13.33,2,Card
1179,Website,1/22/2020,Medium,green_garden,Drink,14.65,1,Card
1180,Website,1/22/2020,Medium,hawaiian,Drink,12.87,4,Card
1181,Website,1/22/2020,XLarge,ital_supr,"Wings , Drink",32.67,4.33,Cash
1182,Website,1/22/2020,Large,pepperoni,"Wings , Drink",20.75,0,Card
1183,Website,1/22/2020,Large,spicy_ital,Wings,19.39,4.61,Cash
1184,Website,1/23/2020,Large,spin_pestoach_supr,"Wings , Drink",20.12,5,Card
1185,Website,1/23/2020,Large,thai_ckn,"Wings , Drink",21,3,Cash
1186,Website,1/23/2020,Large,veggie_veg,"Wings , Drink",21,4,Card
1187,Website,1/23/2020,Large,spicy_ital,"Wings , Drink",20,2,Cash
1188,Website,1/23/2020,Large,thai_ckn,"Wings , Drink",20.37,2,Card
1189,Website,1/23/2020,Large,peppr_salami,"Wings , Drink",21.22,3.78,Card
1190,Website,1/23/2020,Medium,big_meat,Drink,12.54,5,Card
1191,Website,1/23/2020,XLarge,cali_ckn,"Wings , Drink",27.88,5,Card
1192,Website,1/24/2020,Large,four_cheese,Wings,15.88,3.12,Cash
1193,Call Center,1/24/2020,Medium,ital_supr,No Side,8.83,1,Card
1194,Website,1/24/2020,Large,ital_supr,Wings,18.9,3,Card
1195,Call Center,1/24/2020,Medium,mexicana,Drink,13.95,2,Card
1196,Call Center,1/24/2020,XLarge,pepperoni,"Wings , Drink",26.27,4.28,Cash
1197,Website,1/24/2020,Large,sicilian,"Wings , Drink",21.79,0.21,Cash
1198,Website,1/24/2020,Large,sicilian,"Wings , Drink",20.83,4,Card
1199,Website,1/24/2020,Large,southw_ckn,"Wings , Drink",24.19,0.82,Cash
1200,Website,1/24/2020,Large,spicy_ital,"Wings , Drink",22.08,3,Card
1201,Website,1/24/2020,Large,spicy_ital,Wings,15.71,3,Card
1202,Website,1/24/2020,Large,spin_pestoach_supr,Wings,19.58,0.12,Cash
1203,Website,1/24/2020,Medium,thai_ckn,Drink,13.97,2,Card
1204,Website,1/24/2020,XLarge,four_cheese,"Wings , Drink",28.44,0,Card
1205,Website,1/24/2020,XLarge,hawaiian,"Wings , Drink",27.34,4,Card
1206,Website,1/25/2020,Large,big_meat,"Wings , Drink",20.68,2.32,Card
1207,Call Center,1/25/2020,XLarge,ital_supr,"Wings , Drink",28.44,3,Card
1208,Website,1/25/2020,Medium,sicilian,Drink,14.88,5.12,Cash
1209,Website,1/25/2020,Large,five_cheese,"Wings , Drink",20.37,2,Card
1210,Website,1/25/2020,XXL,hawaiian,"Wings,Drink, Pasta",36.47,3,Card
1211,Call Center,1/25/2020,Large,pep_msh_pep,Wings,19.6,4,Card
1212,Website,1/25/2020,Large,sicilian,Wings,18.88,1,Card
1213,Website,1/25/2020,Large,thai_ckn,Wings,16.08,5,Card
1214,Website,1/25/2020,Large,big_meat,"Wings , Drink",22.06,7.94,Cash
1215,Website,1/25/2020,Medium,five_cheese,No Side,8.83,1.17,Cash
1216,Call Center,1/25/2020,XLarge,ital_supr,"Wings , Drink",27.78,2,Card
1217,Website,1/26/2020,Large,southw_ckn,"Wings , Drink",22.08,0.92,Cash
1218,Website,1/26/2020,XXL,bbq_ckn,"Wings,Drink, Pasta",40.61,7,Card
1219,Website,1/26/2020,XXL,big_meat,"Wings,Drink, Pasta",38.74,3.26,Cash
1220,Website,1/26/2020,Large,sicilian,"Wings , Drink",21,1,Cash
1221,Website,1/26/2020,XLarge,cali_ckn,"Wings , Drink",32.67,5,Card
1222,Website,1/26/2020,XXL,four_cheese,"Wings,Drink, Pasta",36.9,4,Card
1223,Website,1/26/2020,XXL,sicilian,"Wings,Drink, Pasta",35.54,4,Card
1224,Call Center,1/26/2020,Large,thai_ckn,"Wings , Drink",21.53,2,Card
1225,Website,1/26/2020,Large,spicy_ital,"Wings , Drink",21.53,3.47,Cash
1226,Website,1/26/2020,Large,ital_supr,Wings,18.88,2.12,Cash
1227,Website,1/26/2020,Large,spin_pestoach_supr,"Wings , Drink",21.93,7,Card
1228,Call Center,1/26/2020,XLarge,cali_ckn,"Wings , Drink",26.31,5,Card
1229,Website,1/28/2020,XLarge,ckn_pesto,"Wings , Drink",33.7,0.3,Cash
1230,Call Center,1/28/2020,Large,classic_dlx,"Wings , Drink",24.54,5,Card
1231,Website,1/28/2020,XLarge,prsc_argla,"Wings , Drink",26.3,0,Card
1232,Website,1/28/2020,Medium,spin_pestoach_supr,Drink,14.3,2.7,Cash
1233,Call Center,1/28/2020,Large,the_greek,"Wings , Drink",21,4,Cash
1234,Website,1/28/2020,Large,spicy_ital,Wings,19.95,5,Card
1235,Website,1/29/2020,Large,green_garden,"Wings , Drink",22.07,2.93,Cash
1236,Call Center,1/29/2020,XLarge,ital_supr,"Wings , Drink",26.01,1.99,Card
1237,Website,1/29/2020,Large,cali_ckn,Wings,15.42,4.58,Cash
1238,Call Center,1/29/2020,Large,hawaiian,Wings,15.71,3,Card
1239,Website,1/29/2020,Large,spin_pestoach_supr,Wings,15.97,4,Card
1240,WhatsApp,1/29/2020,Medium,bbq_ckn,Drink,12.91,2,Card
1241,Call Center,1/29/2020,Large,prsc_argla,"Wings , Drink",21.01,2,Card
1242,Website,1/29/2020,Large,bbq_ckn,"Wings , Drink",21.55,5,Card
1243,Website,1/30/2020,Large,calabrese,"Wings , Drink",22.8,3.2,Card
1244,Website,1/30/2020,Large,napolitana,Wings,17.84,2.16,Card
1245,Website,1/30/2020,Medium,spin_pestoach_supr,No Side,5.94,1.06,Cash
1246,Website,1/30/2020,Large,the_greek,"Wings , Drink",22.08,1.92,Cash
1247,Website,1/30/2020,XLarge,prsc_argla,"Wings , Drink",31.74,5,Card
1248,Website,1/30/2020,Large,four_cheese,Wings,17.84,0,Card
1249,Website,1/30/2020,Large,pepperoni,Wings,15.44,2,Card
1250,Website,1/30/2020,Large,bbq_ckn,Wings,15.72,4.28,Cash
1251,Website,1/30/2020,Large,sicilian,Wings,17.9,6,Card
1252,Website,1/30/2020,Medium,veggie_veg,No Side,11.48,2,Card
1253,Call Center,1/31/2020,Large,ital_supr,Wings,15.18,3,Card
1254,WhatsApp,1/31/2020,Large,ital_supr,"Wings , Drink",23.18,4,Card
1255,Call Center,1/31/2020,Large,ital_supr,"Wings , Drink",23.48,4.52,Cash
1256,Website,1/31/2020,Large,hawaiian,"Wings , Drink",24.59,6,Card
1257,Website,1/31/2020,Large,prsc_argla,Wings,18.9,2.1,Cash
1258,Website,1/31/2020,XLarge,southw_ckn,"Wings , Drink",28.12,3,Card
1259,WhatsApp,1/31/2020,Large,green_garden,"Wings , Drink",24.8,5,Card
1260,Website,1/31/2020,XXL,pepperoni,"Wings,Drink, Pasta",35.85,5,Card
1261,Website,1/31/2020,Large,big_meat,"Wings , Drink",21,3,Card
1262,Website,1/31/2020,XLarge,thai_ckn,"Wings , Drink",26.44,3.16,Cash
1263,Website,1/31/2020,Large,pepperoni,Wings,15.71,2,Card
1264,Website,1/31/2020,Large,prsc_argla,Wings,15.71,0,Card
1265,Call Center,1/31/2020,XLarge,veggie_veg,"Wings , Drink",27.69,2,Cash
1266,Website,1/31/2020,Large,green_garden,Wings,16.73,2,Card
1267,Website,1/31/2020,Large,mexicana,Wings,17.37,5,Card
1268,Call Center,1/31/2020,XLarge,calabrese,"Wings , Drink",34.76,0.24,Cash
1269,Website,2/1/2020,Medium,ckn_pesto,Drink,12.87,2,Card
1270,WhatsApp,2/1/2020,Large,five_cheese,Wings,16.78,3.22,Cash
1271,Call Center,2/1/2020,Medium,ital_supr,Drink,12.54,2.46,Cash
1272,WhatsApp,2/1/2020,XLarge,pepperoni,"Wings , Drink",28.05,5,Card
1273,Website,2/1/2020,Large,pepperoni,"Wings , Drink",21.01,4,Card
1274,Website,2/1/2020,Large,spin_pestoach_supr,Wings,17.54,3,Card
1275,Website,2/1/2020,Large,green_garden,Wings,17.18,5,Card
1276,Call Center,2/1/2020,Large,ital_supr,"Wings , Drink",21,2,Cash
1277,Website,2/1/2020,Large,spicy_ital,"Wings , Drink",24.54,3.46,Cash
1278,Website,2/1/2020,Large,bbq_ckn,"Wings , Drink",20.36,3,Card
1279,Website,2/1/2020,Large,napolitana,"Wings , Drink",22.08,2.92,Cash
1280,Website,2/1/2020,Large,pep_msh_pep,Wings,18.9,4,Card
1281,Website,2/1/2020,XLarge,spicy_ital,"Wings , Drink",32.9,2.1,Cash
1282,Website,2/1/2020,Large,four_cheese,Wings,19.31,5.69,Cash
1283,Website,2/1/2020,XLarge,mexicana,"Wings , Drink",25.65,25,Card
1284,Website,2/1/2020,XLarge,cali_ckn,"Wings , Drink",26.31,5.69,Cash
1285,Call Center,2/1/2020,Large,spin_pestoach_supr,Wings,17.31,1.69,Cash
1286,Call Center,2/1/2020,Large,hawaiian,Wings,16.24,3,Card
1287,Call Center,2/2/2020,Medium,sicilian,Drink,14.25,2.75,Cash
1288,Website,2/2/2020,Large,spin_pestoach_supr,Wings,16.78,5,Card
1289,Website,2/2/2020,Large,veggie_veg,"Wings , Drink",24.04,5,Card
1290,Website,2/2/2020,Large,peppr_salami,Wings,15.72,2.28,Cash
1291,Website,2/2/2020,Medium,big_meat,Drink,14.01,0.99,Cash
1292,Website,2/2/2020,XLarge,classic_dlx,"Wings , Drink",27.07,0,Cash
1293,Website,2/2/2020,Medium,napolitana,No Side,11.86,5.14,Cash
1294,Website,2/2/2020,XLarge,napolitana,"Wings , Drink",28.44,1.56,Cash
1295,Call Center,2/2/2020,XLarge,pepperoni,"Wings , Drink",27.37,4,Card
1296,WhatsApp,2/2/2020,Large,peppr_salami,"Wings , Drink",21.43,2,Card
1297,Call Center,2/2/2020,Large,prsc_argla,Wings,16.78,5.22,Cash
1298,Website,2/2/2020,Medium,ckn_alfredo,No Side,11.86,3.14,Cash
1299,Website,2/2/2020,XLarge,sicilian,"Wings , Drink",28.43,5,Card
1300,Website,2/2/2020,Medium,spin_pestoach_supr,No Side,10.12,2,Card
1301,Website,2/2/2020,Large,ital_supr,"Wings , Drink",21,6,Card
1302,Website,2/2/2020,Medium,five_cheese,No Side,9.89,1.11,Cash
1303,Call Center,2/3/2020,Large,four_cheese,Wings,17.84,2.16,Cash
1304,Call Center,2/3/2020,Large,mexicana,Wings,15.72,2,Card
1305,Website,2/3/2020,Large,southw_ckn,"Wings , Drink",23.14,6,Card
1306,Website,2/3/2020,Large,ital_supr,Wings,19.94,3.06,Cash
1307,Website,2/3/2020,Medium,sicilian,No Side,11.71,1,Card
1308,Website,2/3/2020,XXL Pizza,hawaiian,"Wings, Pasta, Salad",53.83,10,Card
1309,Website,2/4/2020,Large,soppressata,Wings,18.44,2,Card
1310,Website,2/4/2020,Large,veggie_veg,"Wings , Drink",21,3,Card
1311,Call Center,2/4/2020,Large,ital_supr,"Wings , Drink",22.97,0,Card
1312,Call Center,2/4/2020,Large,calabrese,Wings,15.71,2.29,Cash
1313,Website,2/4/2020,XXL Pizza,four_cheese,"Wings, Pasta, Salad",45.38,4.62,Cash
1314,Website,2/4/2020,XLarge,mexicana,"Wings , Drink",25.65,10,Card
1315,Call Center,2/4/2020,XLarge,pep_msh_pep,"Wings , Drink",28.48,4,Card
1316,Call Center,2/4/2020,Large,mediterraneo,"Wings , Drink",21.8,6,Card
1317,Call Center,2/4/2020,XLarge,cali_ckn,"Wings , Drink",28.42,3.58,Cash
1318,Call Center,2/5/2020,Medium,hawaiian,Drink,14.65,2,Cash
1319,Call Center,2/5/2020,Large,southw_ckn,Wings,18.9,1.1,Cash
1320,Website,2/5/2020,Large,ital_supr,Wings,19.96,3.04,Cash
1321,Website,2/5/2020,XLarge,pepperoni,"Wings , Drink",32.9,0,Cash
1322,Website,2/5/2020,Large,sicilian,Wings,19.5,5,Card
1323,Call Center,2/5/2020,Large,the_greek,"Wings , Drink",23.53,2,Card
1324,WhatsApp,2/5/2020,Large,pepperoni,Wings,18.39,4,Card
1325,Call Center,2/5/2020,Large,the_greek,Wings,19.75,2.25,Cash
1326,Website,2/5/2020,Medium,spin_pestoach_supr,Drink,14.65,0,Cash
1327,Website,2/6/2020,Large,ckn_alfredo,"Wings , Drink",22.08,5,Card
1328,WhatsApp,2/6/2020,Large,cali_ckn,Wings,16.78,3.22,Cash
1329,Website,2/6/2020,XXL,cali_ckn,"Wings,Drink, Pasta",35.39,4,Card
1330,Website,2/6/2020,Large,pepperoni,Wings,17.84,1,Card
1331,Website,2/6/2020,XLarge,spicy_ital,"Wings , Drink",31.6,6,Card
1332,Call Center,2/6/2020,Large,classic_dlx,"Wings , Drink",21,5,Card
1333,Website,2/6/2020,Large,classic_dlx,"Wings , Drink",21.53,2,Card
1334,Website,2/6/2020,Large,ital_supr,Wings,18.84,2,Card
1335,Website,2/6/2020,Large,spicy_ital,"Wings , Drink",21,4,Cash
1336,Website,2/6/2020,Large,five_cheese,Wings,17.18,4,Card
1337,Call Center,2/7/2020,Large,ital_supr,"Wings , Drink",20.57,2,Card
1338,Website,2/7/2020,XXL,four_cheese,"Wings,Drink, Pasta",42.73,4.27,Cash
1339,Call Center,2/7/2020,Medium,ital_supr,Drink,14.65,2.5,Card
1340,Website,2/7/2020,XXL,pepperoni,"Wings,Drink, Pasta",42.72,7,Card
